salary,tenureMonths,engagementScore,performanceScore,absenteeismDays,overtimeHours,lastPromotionMonths,trainingHours,attrition
73034.39,24,2.98,4.42,3,3.1,16,38.1,0
56652.66,23,4.32,3.66,5,5.3,4,29.1,0
77580.81,48,2.92,3.35,6,1.3,12,47.3,0
110107.45,12,3.77,3.39,6,5.7,12,54.9,0
54520.86,19,3.54,3.74,3,8.6,19,27.1,1
54521.22,29,3.05,3.48,6,1.6,11,23.9,0
112609.92,74,1.87,4.3,5,1.1,4,25.5,1
81387.25,48,2.14,3.84,4,10.7,24,33.7,1
49623.03,33,2.13,2.83,2,0.0,14,42.7,0
74386.07,22,3.59,2.7,5,1.5,10,82.5,0
49743.39,91,3.74,4.19,5,2.6,22,19.1,0
49697.41,30,2.5,2.69,5,5.6,15,15.2,0
65958.76,19,3.14,3.26,3,29.2,17,14.9,1
27852.78,100,3.21,3.19,6,2.3,38,30.8,0
30032.42,13,3.26,2.63,5,14.9,10,30.1,1
47814.54,64,2.59,3.72,5,2.3,14,26.1,0
39929.38,32,4.51,3.41,6,5.9,32,62.7,0
67893.73,48,3.74,3.05,5,0.9,27,62.0,0
41638.91,43,3.26,4.96,6,3.1,30,51.9,0
34032.75,48,2.78,1.8,2,10.3,32,27.0,0
107608.99,105,2.53,2.9,12,1.9,9,38.8,0
54703.86,96,3.52,3.1,7,0.6,16,47.9,0
61513.46,20,2.82,2.55,4,3.7,7,83.6,0
33863.76,42,3.31,5.0,5,2.9,31,31.6,0
48158.21,8,1.68,5.0,7,1.3,8,34.8,0
62590.52,51,2.78,3.02,1,11.8,20,22.1,0
37782.55,57,3.11,4.39,5,4.6,25,64.5,1
69583.25,6,3.97,3.92,6,2.1,1,64.7,0
47086.64,31,2.46,4.66,5,27.8,19,34.2,1
53280.33,48,2.01,3.42,2,0.7,43,14.7,0
47066.53,39,3.56,3.8,5,9.4,34,24.6,0
125606.75,13,3.15,4.48,2,1.3,13,77.3,0
59551.76,14,1.82,4.37,4,1.4,14,17.7,0
39218.96,29,1.86,3.61,5,3.4,12,39.3,0
83201.28,24,2.68,2.84,6,5.4,11,44.9,0
36741.51,25,3.13,2.97,3,5.9,21,14.3,0
65091.25,12,4.31,2.21,6,0.1,8,17.5,0
27340.71,32,2.34,4.05,6,1.7,6,36.0,1
35197.33,74,3.63,3.65,3,5.4,51,39.8,0
64779.5,14,1.63,3.7,4,11.0,14,24.3,0
80449.64,27,3.49,3.48,4,5.5,21,34.3,0
64122.29,45,4.41,2.7,7,1.5,13,56.4,0
57167.49,10,3.31,3.72,4,3.5,10,83.4,0
53080.16,32,2.67,3.92,7,5.2,16,7.7,0
33143.15,56,4.19,2.89,5,0.7,21,62.6,0
44894.13,16,3.48,3.48,2,3.9,15,17.5,0
49798.72,34,3.32,3.05,6,3.2,5,35.1,0
91386.12,54,2.39,3.35,5,2.1,16,50.5,1
68696.07,102,3.49,2.71,3,4.9,2,8.8,0
29577.94,33,2.65,3.31,2,5.1,30,20.9,0
